Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.286, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.299, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.320, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.341, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.352, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.364, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.376, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.397, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.408, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.430, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.483, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.495, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.507, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.528, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.540, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.551, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.573, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.605, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.647, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.658, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.669, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.683, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.695, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.707, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.728, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.740, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.752, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.774, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.786, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.798, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.840, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.852, (priority): 3, (size): 3
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.874, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.906, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.918, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.930, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.952, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.964, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.986, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.998, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:36.20, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:36.52, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:36.84, (priority): 3, (size): 3
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:36.116, (priority): 3, (size): 100
