Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:35.971, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:36.972, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:37.972, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:37.973, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:38.972, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:40.972, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:40.973, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:41.972, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:41.974, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:41.975, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:42.972, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:42.974, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:43.973, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:43.975, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:52:44.973, (priority): 3, (size): 100
