no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:43.847, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:43.947, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.47, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.147, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.247, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.347, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.447, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.547, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.648, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.748, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.848, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:44.948, (priority): 2, (size): 3
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.48, (priority): 2, (size): 100
