no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:16.479, (priority): 1, (size): 9
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:16.480, (priority): 1, (size): 9
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:16.580, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:16.584, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:16.685, (priority): 1, (size): 0
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:16.687, (priority): 1, (size): 0
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:16.781, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:16.782, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:16.887, (priority): 1, (size): 0
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:16.889, (priority): 1, (size): 0
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:16.989, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:16.991, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:17.91, (priority): 1, (size): 0
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:17.93, (priority): 1, (size): 0
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:17.189, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5000, (dest): mumble-20.cs.wisc.edu::5001, (time): 16:34:17.191, (priority): 1, (size): 3
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:17.293, (priority): 1, (size): 0
no forwarding entry was found: (src): mumble-20.cs.wisc.edu::5001, (dest): mumble-20.cs.wisc.edu::5000, (time): 16:34:17.295, (priority): 1, (size): 0
